file,reason,confidence
curated\furnitur-detail\2022-02-02_CZdwJompRqD,unggahan-satu-foto,-
curated\furnitur-detail\2022-02-02_CZdwNLiJh6S,unggahan-satu-foto,-
curated\furnitur-detail\2022-02-02_CZdZKe9p_mw,unggahan-satu-foto,-
curated\furnitur-detail\2022-02-07_CZqFGnrpYUN,unggahan-satu-foto,-
curated\furnitur-detail\2022-02-07_CZqFHwSJFhX,unggahan-satu-foto,-
curated\furnitur-detail\2022-02-08_CZtBBTSpZ3L,unggahan-satu-foto,-
curated\furnitur-detail\2022-02-08_CZtQLwIJNhW,unggahan-satu-foto,-
curated\furnitur-detail\2022-02-10_CZx2AYCpoLL,unggahan-satu-foto,-
curated\furnitur-detail\2022-02-16_CaCG2stpDIP,unggahan-satu-foto,-
curated\furnitur-detail\2022-02-17_CaD7BPjpnEo,unggahan-satu-foto,-
curated\furnitur-detail\2022-02-18_CaGp0FwpRQ5,unggahan-satu-foto,-
curated\furnitur-detail\2022-02-18_CaGpe8BpE6y,unggahan-satu-foto,-
curated\furnitur-detail\2022-02-18_CaHH5x_p6Al,unggahan-satu-foto,-
curated\furnitur-detail\2022-02-18_CaHp2g9Jy-J,unggahan-satu-foto,-
curated\furnitur-detail\2022-02-19_CaI_SXvJ34L,unggahan-satu-foto,-
curated\furnitur-detail\2022-02-19_CaI_UGOpLT7,unggahan-satu-foto,-
curated\furnitur-detail\2022-02-21_CaO430WpbXW,unggahan-satu-foto,-
curated\furnitur-detail\2022-02-21_CaOKIW3pnaV,unggahan-satu-foto,-
curated\furnitur-detail\2022-02-22_CaQteUYpEY9,unggahan-satu-foto,-
curated\furnitur-detail\2022-02-24_CaWEtl1JxpS,unggahan-satu-foto,-
curated\furnitur-detail\2022-02-24_CaWExq9pKTu,unggahan-satu-foto,-
curated\furnitur-detail\2022-02-24_CaWEzYipCkV,unggahan-satu-foto,-
curated\furnitur-detail\2022-02-25_CaYkEgLp8EJ,unggahan-satu-foto,-
curated\furnitur-detail\2022-02-27_Cadt99pJl3G,unggahan-satu-foto,-
curated\furnitur-detail\2022-03-01_Cai8PsWJm2m,unggahan-satu-foto,-
curated\furnitur-detail\2022-03-05_CauRUmKJ3aj,unggahan-satu-foto,-
curated\furnitur-detail\2022-03-10_Ca6y-yuJ6Az,unggahan-satu-foto,-
curated\furnitur-detail\2022-03-18_CbOuiAAJKkA,unggahan-satu-foto,-
curated\furnitur-detail\2022-03-19_CbRKtTZJkr-,unggahan-satu-foto,-
curated\furnitur-detail\2022-03-26_CbjkdBsprH3,unggahan-satu-foto,-
curated\furnitur-detail\2022-04-04_Cb6kRxTh3D1,unggahan-satu-foto,-
curated\furnitur-detail\2022-04-06_Cb_gdBBpQhF,unggahan-satu-foto,-
curated\furnitur-detail\2022-04-20_Cck9PQoJkTy,unggahan-satu-foto,-
curated\furnitur-detail\2022-04-26_Ccy81i_Jw9F,unggahan-satu-foto,-
curated\furnitur-detail\2022-05-19_CduQno6pjCT,unggahan-satu-foto,-
curated\furnitur-detail\2022-05-23_Cd5JU-Gp11Q,unggahan-satu-foto,-
curated\furnitur-detail\2022-06-13_Ceus7zKJa-O,unggahan-satu-foto,-
curated\furnitur-detail\2022-06-13_Ceus9eMp-a3,unggahan-satu-foto,-
curated\furnitur-detail\2022-06-13_CeutAgEJPd-,unggahan-satu-foto,-
curated\furnitur-detail\2022-06-20_CfBE6dWpV-P,unggahan-satu-foto,-
curated\furnitur-detail\2022-06-22_CfG2Pi4J2ey,unggahan-satu-foto,-
curated\furnitur-detail\2022-06-24_CfL9EkepFs1,unggahan-satu-foto,-
curated\furnitur-detail\2022-06-28_CfWRMfspISD,unggahan-satu-foto,-
curated\furnitur-detail\2022-07-04_Cfklz4YpEch,unggahan-satu-foto,-
curated\furnitur-detail\2022-07-06_Cfp5EOxptWg,unggahan-satu-foto,-
curated\furnitur-detail\2022-07-19_CgL2t-KJ5t_,unggahan-satu-foto,-
curated\furnitur-detail\2022-07-21_CgQYDdepMfP,unggahan-satu-foto,-
curated\furnitur-detail\2022-07-26_CgdqE1-JEIj,unggahan-satu-foto,-
curated\furnitur-detail\2022-10-01_CjKI5_BJiTJ,unggahan-satu-foto,-
curated\furnitur-detail\2022-11-09_CkvcZZ2JS-E,unggahan-satu-foto,-
curated\furnitur-detail\2022-11-17_ClDRpbJJ-VP,unggahan-satu-foto,-
curated\furnitur-detail\2022-12-08_Cl5D7OTJ15Z,unggahan-satu-foto,-
curated\furnitur-detail\2022-12-21_CmaivDUpNXK,unggahan-satu-foto,-
curated\furnitur-detail\2022-12-21_CmajPCApCQh,unggahan-satu-foto,-
curated\furnitur-detail\2022-12-22_CmdJt_WJsdB,unggahan-satu-foto,-
curated\furnitur-detail\2023-02-03_CoL1zRlJ42Q,unggahan-satu-foto,-
curated\furnitur-detail\2023-02-20_Co4K4EspK-s,unggahan-satu-foto,-
curated\furnitur-detail\2023-02-23_CpAVu8tJ3tN,unggahan-satu-foto,-
