post,file,classification,destination_category,confidence,action
2023-03-07_CpfY9TOpUkI,daikuinterior_CpfY9TOpUkI_1.jpg,dapur,dapur,0.925,moved
2023-03-07_CpfY9TOpUkI,daikuinterior_CpfY9TOpUkI_2.jpg,dapur,dapur,0.9134,moved
2023-03-07_CpfY9TOpUkI,daikuinterior_CpfY9TOpUkI_3.jpg,dapur,dapur,0.9161,moved
2023-03-07_CpfY9TOpUkI,daikuinterior_CpfY9TOpUkI_4.jpg,perlu-ditinjau,perlu-ditinjau,0.3124,moved
2023-03-07_CpfY9TOpUkI,daikuinterior_CpfY9TOpUkI_5.jpg,dapur,dapur,0.88,moved
2023-03-07_CpfY9TOpUkI,daikuinterior_CpfY9TOpUkI_6.jpg,ruang-usaha,dapur,0.9949,moved
2023-03-07_CpfY9TOpUkI,daikuinterior_CpfY9TOpUkI_7.jpg,dapur,dapur,0.6699,moved
2023-03-09_CpjT9bOpHGi,daikuinterior_CpjT9bOpHGi_0.jpg,dapur,dapur,0.7522,moved
2023-03-09_CpjT9bOpHGi,daikuinterior_CpjT9bOpHGi_1.jpg,dapur,dapur,0.7176,moved
2023-03-09_CpjT9bOpHGi,daikuinterior_CpjT9bOpHGi_2.jpg,dapur,dapur,0.8389,moved
2023-03-10_Cpm4WnNpXIX,daikuinterior_Cpm4WnNpXIX_0.jpg,ruang-usaha,ruang-usaha,0.8506,moved
2023-03-10_Cpm4WnNpXIX,daikuinterior_Cpm4WnNpXIX_1.jpg,ruang-usaha,ruang-usaha,0.9668,moved
2023-03-13_CpuVsqaJKBf,daikuinterior_CpuVsqaJKBf_0.jpg,ruang-usaha,ruang-usaha,0.9804,moved
2023-03-13_CpuVsqaJKBf,daikuinterior_CpuVsqaJKBf_1.jpg,ruang-usaha,ruang-usaha,0.9104,moved
2023-03-15_Cpz8u8MpdnZ,daikuinterior_Cpz8u8MpdnZ_0.jpg,furnitur-detail,furnitur-detail,0.903,moved
2023-03-16_Cp1k54DppZy,daikuinterior_Cp1k54DppZy_0.jpg,ruang-makan,furnitur-detail,0.3668,moved
2023-03-16_Cp1k54DppZy,daikuinterior_Cp1k54DppZy_1.jpg,perlu-ditinjau,perlu-ditinjau,0.2934,moved
2023-03-16_Cp1k54DppZy,daikuinterior_Cp1k54DppZy_2.jpg,furnitur-detail,furnitur-detail,0.3762,moved
2023-03-16_Cp1k54DppZy,daikuinterior_Cp1k54DppZy_3.jpg,furnitur-detail,furnitur-detail,0.5101,moved
2023-03-16_Cp2LuvsJo84,daikuinterior_Cp2LuvsJo84_0.jpg,furnitur-detail,furnitur-detail,0.5268,moved
2023-03-16_Cp2ZrCEpCI7,daikuinterior_Cp2ZrCEpCI7_0.jpg,ruang-usaha,ruang-usaha,0.7753,moved
2023-03-20_Cp_rLfZJVHB,daikuinterior_Cp_rLfZJVHB_0.jpg,kamar-tidur,kamar-tidur,0.8442,moved
2023-03-20_Cp_rLfZJVHB,daikuinterior_Cp_rLfZJVHB_1.jpg,kamar-tidur,kamar-tidur,0.8836,moved
2023-03-20_Cp_rLfZJVHB,daikuinterior_Cp_rLfZJVHB_2.jpg,kamar-tidur,kamar-tidur,0.7929,moved
2023-03-20_Cp_rLfZJVHB,daikuinterior_Cp_rLfZJVHB_3.jpg,kamar-tidur,kamar-tidur,0.5556,moved
2023-03-22_CqE7WYOJCGU,daikuinterior_CqE7WYOJCGU_0.jpg,ruang-usaha,ruang-usaha,0.8888,moved
2023-03-22_CqE7WYOJCGU,daikuinterior_CqE7WYOJCGU_1.jpg,ruang-usaha,ruang-usaha,0.3452,moved
2023-03-22_CqE7WYOJCGU,daikuinterior_CqE7WYOJCGU_2.jpg,perlu-ditinjau,perlu-ditinjau,0.2997,moved
2023-03-22_CqE7WYOJCGU,daikuinterior_CqE7WYOJCGU_3.jpg,furnitur-detail,ruang-usaha,0.4741,moved
2023-03-24_CqKis3eJ1lZ,daikuinterior_CqKis3eJ1lZ_0.jpg,furnitur-detail,furnitur-detail,0.4656,moved
2023-03-24_CqKis3eJ1lZ,daikuinterior_CqKis3eJ1lZ_1.jpg,ruang-kerja,furnitur-detail,0.5146,moved
2023-03-24_CqKis3eJ1lZ,daikuinterior_CqKis3eJ1lZ_2.jpg,perlu-ditinjau,perlu-ditinjau,0.3308,moved
2023-03-24_CqKis3eJ1lZ,daikuinterior_CqKis3eJ1lZ_3.jpg,ruang-usaha,furnitur-detail,0.6404,moved
2023-03-24_CqKis3eJ1lZ,daikuinterior_CqKis3eJ1lZ_4.jpg,kamar-mandi,furnitur-detail,0.438,moved
2023-03-24_CqLrOyOyvdK,daikuinterior_CqLrOyOyvdK_0.jpg,kamar-mandi,kamar-mandi,0.9895,moved
2023-03-24_CqLrOyOyvdK,daikuinterior_CqLrOyOyvdK_1.jpg,kamar-mandi,kamar-mandi,0.9573,moved
2023-03-24_CqLrOyOyvdK,daikuinterior_CqLrOyOyvdK_2.jpg,kamar-mandi,kamar-mandi,0.9871,moved
2023-03-24_CqLrOyOyvdK,daikuinterior_CqLrOyOyvdK_3.jpg,kamar-mandi,kamar-mandi,0.9839,moved
2023-03-24_CqLrOyOyvdK,daikuinterior_CqLrOyOyvdK_4.jpg,kamar-mandi,kamar-mandi,0.9885,moved
2023-03-24_CqLrOyOyvdK,daikuinterior_CqLrOyOyvdK_5.jpg,kamar-mandi,kamar-mandi,0.9581,moved
2023-03-27_CqR1Xf5JPrp,daikuinterior_CqR1Xf5JPrp_0.jpg,furnitur-detail,furnitur-detail,0.6251,moved
2023-03-27_CqR1Xf5JPrp,daikuinterior_CqR1Xf5JPrp_1.jpg,ruang-kerja,furnitur-detail,0.5771,moved
2023-03-27_CqR1Xf5JPrp,daikuinterior_CqR1Xf5JPrp_2.jpg,furnitur-detail,furnitur-detail,0.5637,moved
2023-03-27_CqR1Xf5JPrp,daikuinterior_CqR1Xf5JPrp_3.jpg,furnitur-detail,furnitur-detail,0.8094,moved
2023-03-27_CqR1Xf5JPrp,daikuinterior_CqR1Xf5JPrp_4.jpg,ruang-kerja,furnitur-detail,0.8623,moved
2023-03-27_CqR1Xf5JPrp,daikuinterior_CqR1Xf5JPrp_5.jpg,ruang-kerja,furnitur-detail,0.4912,moved
2023-03-30_Cqa6pkvpS5T,daikuinterior_Cqa6pkvpS5T_0.jpg,ruang-usaha,ruang-usaha,0.3666,moved
2023-03-30_Cqa6pkvpS5T,daikuinterior_Cqa6pkvpS5T_1.jpg,ruang-usaha,ruang-usaha,0.5719,moved
2023-03-31_Cqc_kb1JUgd,daikuinterior_Cqc_kb1JUgd_0.jpg,eksterior,eksterior,0.9605,moved
2023-03-31_Cqc_kb1JUgd,daikuinterior_Cqc_kb1JUgd_1.jpg,eksterior,eksterior,0.944,moved
2023-03-31_CqdHH99p_E1,daikuinterior_CqdHH99p_E1_0.jpg,ruang-kerja,ruang-kerja,0.8669,moved
2023-04-01_Cqf1Kxjp3Ab,daikuinterior_Cqf1Kxjp3Ab_0.jpg,ruang-usaha,kamar-mandi,0.5145,moved
2023-04-01_Cqf1Kxjp3Ab,daikuinterior_Cqf1Kxjp3Ab_1.jpg,kamar-mandi,kamar-mandi,0.8649,moved
2023-04-01_Cqf1Kxjp3Ab,daikuinterior_Cqf1Kxjp3Ab_2.jpg,kamar-mandi,kamar-mandi,0.5226,moved
2023-04-01_Cqf1Kxjp3Ab,daikuinterior_Cqf1Kxjp3Ab_3.jpg,furnitur-detail,kamar-mandi,0.6925,moved
2023-04-01_Cqf1Kxjp3Ab,daikuinterior_Cqf1Kxjp3Ab_4.jpg,kamar-mandi,kamar-mandi,0.3885,moved
2023-04-01_Cqf1Kxjp3Ab,daikuinterior_Cqf1Kxjp3Ab_5.jpg,kamar-mandi,kamar-mandi,0.6723,moved
2023-04-01_Cqf1Kxjp3Ab,daikuinterior_Cqf1Kxjp3Ab_6.jpg,perlu-ditinjau,perlu-ditinjau,0.3312,moved
2023-04-03_CqlElZfJHT-,daikuinterior_CqlElZfJHT-_0.jpg,ruang-usaha,ruang-usaha,0.967,moved
2023-04-03_CqlElZfJHT-,daikuinterior_CqlElZfJHT-_1.jpg,ruang-usaha,ruang-usaha,0.9818,moved
2023-04-03_CqlElZfJHT-,daikuinterior_CqlElZfJHT-_2.jpg,furnitur-detail,ruang-usaha,0.3943,moved
2023-04-03_CqlElZfJHT-,daikuinterior_CqlElZfJHT-_3.jpg,ruang-usaha,ruang-usaha,0.3911,moved
2023-04-03_CqlElZfJHT-,daikuinterior_CqlElZfJHT-_4.jpg,dapur,ruang-usaha,0.6427,moved
2023-04-03_CqlElZfJHT-,daikuinterior_CqlElZfJHT-_6.jpg,furnitur-detail,ruang-usaha,0.6328,moved
2023-04-03_CqlExkvpUW_,daikuinterior_CqlExkvpUW__0.jpg,furnitur-detail,furnitur-detail,0.3664,moved
2023-04-03_CqlExkvpUW_,daikuinterior_CqlExkvpUW__1.jpg,furnitur-detail,furnitur-detail,0.3782,moved
2023-04-07_CquDOW-pkiK,daikuinterior_CquDOW-pkiK_0.jpg,furnitur-detail,furnitur-detail,0.6635,moved
2023-04-07_CquDOW-pkiK,daikuinterior_CquDOW-pkiK_1.jpg,furnitur-detail,furnitur-detail,0.6684,moved
2023-04-07_CquDOW-pkiK,daikuinterior_CquDOW-pkiK_2.jpg,furnitur-detail,furnitur-detail,0.7489,moved
2023-04-11_Cq40NI8u0JJ,daikuinterior_Cq40NI8u0JJ_0.jpg,furnitur-detail,furnitur-detail,0.6782,moved
2023-04-11_Cq40NI8u0JJ,daikuinterior_Cq40NI8u0JJ_1.jpg,furnitur-detail,furnitur-detail,0.7293,moved
2023-04-13_Cq-r9qKpFeN,daikuinterior_Cq-r9qKpFeN_0.jpg,kamar-tidur,kamar-tidur,0.8267,moved
2023-04-13_Cq-r9qKpFeN,daikuinterior_Cq-r9qKpFeN_1.jpg,kamar-tidur,kamar-tidur,0.5731,moved
2023-04-15_CrDw04HpOxA,daikuinterior_CrDw04HpOxA_0.jpg,furnitur-detail,furnitur-detail,0.6925,moved
2023-04-15_CrDw04HpOxA,daikuinterior_CrDw04HpOxA_1.jpg,ruang-usaha,furnitur-detail,0.5145,moved
2023-04-15_CrDw04HpOxA,daikuinterior_CrDw04HpOxA_2.jpg,perlu-ditinjau,perlu-ditinjau,0.3312,moved
2023-04-15_CrDw04HpOxA,daikuinterior_CrDw04HpOxA_3.jpg,kamar-mandi,furnitur-detail,0.3885,moved
2023-04-15_CrDww0wJPHg,daikuinterior_CrDww0wJPHg_0.jpg,kamar-mandi,kamar-mandi,0.8649,moved
2023-04-15_CrDww0wJPHg,daikuinterior_CrDww0wJPHg_1.jpg,kamar-mandi,kamar-mandi,0.5226,moved
2023-04-15_CrDww0wJPHg,daikuinterior_CrDww0wJPHg_2.jpg,kamar-mandi,kamar-mandi,0.6723,moved
2023-04-15_CrDxWQipkZk,daikuinterior_CrDxWQipkZk_0.jpg,perlu-ditinjau,perlu-ditinjau,0.2648,moved
2023-04-15_CrDxWQipkZk,daikuinterior_CrDxWQipkZk_1.jpg,furnitur-detail,furnitur-detail,0.4404,moved
2023-04-15_CrDxWQipkZk,daikuinterior_CrDxWQipkZk_2.jpg,perlu-ditinjau,perlu-ditinjau,0.2994,moved
2023-04-19_CrNqTxKpYA_,daikuinterior_CrNqTxKpYA__0.jpg,furnitur-detail,furnitur-detail,0.9427,moved
2023-04-19_CrNqTxKpYA_,daikuinterior_CrNqTxKpYA__1.jpg,furnitur-detail,furnitur-detail,0.8042,moved
2023-04-19_CrNqTxKpYA_,daikuinterior_CrNqTxKpYA__2.jpg,furnitur-detail,furnitur-detail,0.8893,moved
2023-04-25_CrcK3CHJF5O,daikuinterior_CrcK3CHJF5O_0.jpg,ruang-usaha,ruang-usaha,0.6396,moved
2023-04-25_CrcK3CHJF5O,daikuinterior_CrcK3CHJF5O_1.jpg,furnitur-detail,ruang-usaha,0.4296,moved
2023-04-25_CrcK3CHJF5O,daikuinterior_CrcK3CHJF5O_2.jpg,ruang-usaha,ruang-usaha,0.4446,moved
2023-04-26_Cre3DpLJ7Or,daikuinterior_Cre3DpLJ7Or_0.jpg,dapur,dapur,0.7418,moved
2023-04-30_CrpNvfUpOYr,daikuinterior_CrpNvfUpOYr_0.jpg,ruang-usaha,ruang-usaha,0.9498,moved
2023-04-30_CrpNvfUpOYr,daikuinterior_CrpNvfUpOYr_1.jpg,furnitur-detail,ruang-usaha,0.5208,moved
2023-05-01_CrsVc-sp3io,daikuinterior_CrsVc-sp3io_0.jpg,furnitur-detail,furnitur-detail,0.8333,moved
2023-05-01_CrsVc-sp3io,daikuinterior_CrsVc-sp3io_1.jpg,furnitur-detail,furnitur-detail,0.76,moved
2023-05-01_CrsVc-sp3io,daikuinterior_CrsVc-sp3io_2.jpg,furnitur-detail,furnitur-detail,0.3645,moved
2023-05-02_CruK5LWPke7,daikuinterior_CruK5LWPke7_0.jpg,dapur,dapur,0.5547,moved
2023-05-02_CruK5LWPke7,daikuinterior_CruK5LWPke7_1.jpg,dapur,dapur,0.8165,moved
2023-05-02_CruK5LWPke7,daikuinterior_CruK5LWPke7_2.jpg,dapur,dapur,0.6371,moved
2023-05-02_CruK5LWPke7,daikuinterior_CruK5LWPke7_3.jpg,furnitur-detail,dapur,0.5277,moved
2023-05-02_CruK5LWPke7,daikuinterior_CruK5LWPke7_4.jpg,dapur,dapur,0.8566,moved
2023-05-02_CruK5LWPke7,daikuinterior_CruK5LWPke7_5.jpg,dapur,dapur,0.6546,moved
2023-05-02_CruK5LWPke7,daikuinterior_CruK5LWPke7_6.jpg,perlu-ditinjau,perlu-ditinjau,0.3286,moved
2023-05-02_CrvHoQbJ8T6,daikuinterior_CrvHoQbJ8T6_0.jpg,dapur,dapur,0.5251,moved
2023-05-02_CrvHoQbJ8T6,daikuinterior_CrvHoQbJ8T6_1.jpg,dapur,dapur,0.4037,moved
2023-05-02_CrvHxltp456,daikuinterior_CrvHxltp456_0.jpg,dapur,dapur,0.5297,moved
2023-05-02_CrvHxltp456,daikuinterior_CrvHxltp456_1.jpg,kamar-mandi,dapur,0.6444,moved
2023-05-02_CrvHxltp456,daikuinterior_CrvHxltp456_2.jpg,kamar-mandi,dapur,0.4817,moved
2023-05-02_CrvHxltp456,daikuinterior_CrvHxltp456_3.jpg,dapur,dapur,0.8628,moved
2023-05-02_CrvHxltp456,daikuinterior_CrvHxltp456_4.jpg,furnitur-detail,dapur,0.7161,moved
2023-05-03_Crw7rR8J_ef,daikuinterior_Crw7rR8J_ef_0.jpg,ruang-usaha,ruang-usaha,0.7159,moved
2023-05-03_Crw7rR8J_ef,daikuinterior_Crw7rR8J_ef_1.jpg,ruang-usaha,ruang-usaha,0.782,moved
2023-05-03_CrxJ4DoJK5B,daikuinterior_CrxJ4DoJK5B_0.jpg,dapur,dapur,0.9039,moved
2023-05-03_CrxJ4DoJK5B,daikuinterior_CrxJ4DoJK5B_1.jpg,dapur,dapur,0.9134,moved
2023-05-03_CrxJ4DoJK5B,daikuinterior_CrxJ4DoJK5B_2.jpg,dapur,dapur,0.7588,moved
2023-05-03_CrxJ4DoJK5B,daikuinterior_CrxJ4DoJK5B_4.jpg,dapur,dapur,0.9182,moved
2023-05-03_CrxU5dzp-PQ,daikuinterior_CrxU5dzp-PQ_0.jpg,furnitur-detail,furnitur-detail,0.6521,moved
2023-05-03_CrxU5dzp-PQ,daikuinterior_CrxU5dzp-PQ_1.jpg,furnitur-detail,furnitur-detail,0.7648,moved
2023-05-04_CrzemIZp4Tr,daikuinterior_CrzemIZp4Tr_0.jpg,ruang-usaha,ruang-usaha,0.4017,moved
2023-05-04_CrzemIZp4Tr,daikuinterior_CrzemIZp4Tr_1.jpg,perlu-ditinjau,perlu-ditinjau,0.283,moved
2023-05-04_Crzk18zJDFE,daikuinterior_Crzk18zJDFE_0.jpg,ruang-usaha,ruang-usaha,0.9478,moved
2023-05-04_Crzk18zJDFE,daikuinterior_Crzk18zJDFE_1.jpg,ruang-usaha,ruang-usaha,0.9904,moved
2023-05-04_Crzk18zJDFE,daikuinterior_Crzk18zJDFE_2.jpg,ruang-usaha,ruang-usaha,0.9816,moved
2023-05-04_Crzk18zJDFE,daikuinterior_Crzk18zJDFE_3.jpg,ruang-usaha,ruang-usaha,0.8762,moved
2023-05-04_Crzk18zJDFE,daikuinterior_Crzk18zJDFE_4.jpg,ruang-usaha,ruang-usaha,0.918,moved
2023-05-08_Cr-jhX8pHPY,daikuinterior_Cr-jhX8pHPY_0.jpg,dapur,dapur,0.8789,moved
2023-05-08_Cr-jhX8pHPY,daikuinterior_Cr-jhX8pHPY_1.jpg,dapur,dapur,0.975,moved
2023-05-08_Cr-jhX8pHPY,daikuinterior_Cr-jhX8pHPY_2.jpg,dapur,dapur,0.5546,moved
2023-05-10_CsDd-zfRR6e,daikuinterior_CsDd-zfRR6e_0.jpg,dapur,dapur,0.8817,moved
2023-05-10_CsDd-zfRR6e,daikuinterior_CsDd-zfRR6e_1.jpg,dapur,dapur,0.884,moved
2023-05-10_CsDd-zfRR6e,daikuinterior_CsDd-zfRR6e_2.jpg,dapur,dapur,0.8454,moved
2023-05-10_CsDd-zfRR6e,daikuinterior_CsDd-zfRR6e_3.jpg,dapur,dapur,0.6812,moved
2023-05-10_CsDd-zfRR6e,daikuinterior_CsDd-zfRR6e_4.jpg,dapur,dapur,0.655,moved
2023-05-10_CsDd-zfRR6e,daikuinterior_CsDd-zfRR6e_5.jpg,dapur,dapur,0.5584,moved
2023-05-10_CsDd-zfRR6e,daikuinterior_CsDd-zfRR6e_6.jpg,furnitur-detail,dapur,0.5304,moved
2023-05-10_CsDdVTlxLcb,daikuinterior_CsDdVTlxLcb_0.jpg,furnitur-detail,furnitur-detail,0.6689,moved
2023-05-10_CsDdVTlxLcb,daikuinterior_CsDdVTlxLcb_1.jpg,furnitur-detail,furnitur-detail,0.4631,moved
2023-05-10_CsDdVTlxLcb,daikuinterior_CsDdVTlxLcb_2.jpg,ruang-usaha,furnitur-detail,0.6531,moved
2023-05-10_CsDdVTlxLcb,daikuinterior_CsDdVTlxLcb_3.jpg,furnitur-detail,furnitur-detail,0.7071,moved
2023-05-10_CsDdVTlxLcb,daikuinterior_CsDdVTlxLcb_4.jpg,furnitur-detail,furnitur-detail,0.3659,moved
2023-05-10_CsEI-mqxMjj,daikuinterior_CsEI-mqxMjj_0.jpg,ruang-usaha,ruang-usaha,0.9383,moved
2023-05-10_CsEI-mqxMjj,daikuinterior_CsEI-mqxMjj_1.jpg,furnitur-detail,ruang-usaha,0.6025,moved
2023-05-10_CsEI-mqxMjj,daikuinterior_CsEI-mqxMjj_2.jpg,ruang-usaha,ruang-usaha,0.9555,moved
2023-05-11_CsGxGMKxfuN,daikuinterior_CsGxGMKxfuN_0.jpg,furnitur-detail,furnitur-detail,0.4301,moved
2023-05-11_CsGxGMKxfuN,daikuinterior_CsGxGMKxfuN_1.jpg,furnitur-detail,furnitur-detail,0.4158,moved
2023-05-11_CsGxGMKxfuN,daikuinterior_CsGxGMKxfuN_2.jpg,furnitur-detail,furnitur-detail,0.5503,moved
2023-05-11_CsGxGMKxfuN,daikuinterior_CsGxGMKxfuN_3.jpg,furnitur-detail,furnitur-detail,0.4556,moved
2023-05-11_CsGxGMKxfuN,daikuinterior_CsGxGMKxfuN_4.jpg,kamar-tidur,furnitur-detail,0.6125,moved
2023-05-15_CsQaCwtR2rJ,daikuinterior_CsQaCwtR2rJ_0.jpg,furnitur-detail,furnitur-detail,0.5795,moved
2023-05-15_CsQaCwtR2rJ,daikuinterior_CsQaCwtR2rJ_1.jpg,kamar-mandi,furnitur-detail,0.7201,moved
2023-05-15_CsQaCwtR2rJ,daikuinterior_CsQaCwtR2rJ_2.jpg,furnitur-detail,furnitur-detail,0.4894,moved
2023-05-15_CsQaCwtR2rJ,daikuinterior_CsQaCwtR2rJ_3.jpg,ruang-usaha,furnitur-detail,0.6536,moved
2023-05-15_CsQaCwtR2rJ,daikuinterior_CsQaCwtR2rJ_4.jpg,perlu-ditinjau,perlu-ditinjau,0.3075,moved
2023-05-17_CsV9enyxSb0,daikuinterior_CsV9enyxSb0_0.jpg,kamar-tidur,kamar-tidur,0.8068,moved
2023-05-17_CsV9enyxSb0,daikuinterior_CsV9enyxSb0_1.jpg,kamar-tidur,kamar-tidur,0.77,moved
2023-05-17_CsV9enyxSb0,daikuinterior_CsV9enyxSb0_2.jpg,kamar-tidur,kamar-tidur,0.6459,moved
2023-05-17_CsV9enyxSb0,daikuinterior_CsV9enyxSb0_3.jpg,furnitur-detail,kamar-tidur,0.5376,moved
2023-05-19_Csals_ixqAE,daikuinterior_Csals_ixqAE_0.jpg,kamar-tidur,kamar-tidur,0.7641,moved
2023-05-19_Csals_ixqAE,daikuinterior_Csals_ixqAE_1.jpg,kamar-tidur,kamar-tidur,0.6593,moved
2023-05-19_Csals_ixqAE,daikuinterior_Csals_ixqAE_2.jpg,kamar-tidur,kamar-tidur,0.8258,moved
2023-05-19_Csalvh_RMFO,daikuinterior_Csalvh_RMFO_0.jpg,furnitur-detail,furnitur-detail,0.7314,moved
2023-05-19_Csalvh_RMFO,daikuinterior_Csalvh_RMFO_1.jpg,furnitur-detail,furnitur-detail,0.6568,moved
2023-05-20_Csdn4gtS3Xs,daikuinterior_Csdn4gtS3Xs_0.jpg,furnitur-detail,furnitur-detail,0.6941,moved
2023-05-20_Csdn4gtS3Xs,daikuinterior_Csdn4gtS3Xs_1.jpg,furnitur-detail,furnitur-detail,0.4378,moved
2023-05-20_Csdn4gtS3Xs,daikuinterior_Csdn4gtS3Xs_2.jpg,kamar-tidur,furnitur-detail,0.4643,moved
2023-05-20_CsdoKKDSREK,daikuinterior_CsdoKKDSREK_0.jpg,dapur,dapur,0.8428,moved
2023-05-20_CsdoKKDSREK,daikuinterior_CsdoKKDSREK_1.jpg,dapur,dapur,0.9319,moved
2023-05-20_CsdoKKDSREK,daikuinterior_CsdoKKDSREK_2.jpg,dapur,dapur,0.774,moved
2023-05-20_CsdoKKDSREK,daikuinterior_CsdoKKDSREK_3.jpg,dapur,dapur,0.6164,moved
2023-05-20_CsdoKKDSREK,daikuinterior_CsdoKKDSREK_4.jpg,dapur,dapur,0.5816,moved
2023-05-20_CsdoKKDSREK,daikuinterior_CsdoKKDSREK_5.jpg,dapur,dapur,0.9555,moved
2023-05-20_CsdoKKDSREK,daikuinterior_CsdoKKDSREK_6.jpg,dapur,dapur,0.8744,moved
2023-05-20_CsdoKKDSREK,daikuinterior_CsdoKKDSREK_7.jpg,furnitur-detail,dapur,0.3694,moved
2023-05-23_CslQ-a2xo_X,daikuinterior_CslQ-a2xo_X_0.jpg,ruang-keluarga,furnitur-detail,0.4592,moved
2023-05-23_CslQ-a2xo_X,daikuinterior_CslQ-a2xo_X_1.jpg,furnitur-detail,furnitur-detail,0.5238,moved
2023-05-23_CslQ-a2xo_X,daikuinterior_CslQ-a2xo_X_2.jpg,furnitur-detail,furnitur-detail,0.4034,moved
2023-05-23_CslQ4n_x4H4,daikuinterior_CslQ4n_x4H4_0.jpg,furnitur-detail,furnitur-detail,0.8152,moved
2023-05-23_CslQ4n_x4H4,daikuinterior_CslQ4n_x4H4_1.jpg,furnitur-detail,furnitur-detail,0.5644,moved
2023-05-23_CslQ4n_x4H4,daikuinterior_CslQ4n_x4H4_2.jpg,furnitur-detail,furnitur-detail,0.6177,moved
2023-05-23_CslQ4n_x4H4,daikuinterior_CslQ4n_x4H4_3.jpg,furnitur-detail,furnitur-detail,0.6493,moved
2023-05-23_CslRH_KxJCw,daikuinterior_CslRH_KxJCw_0.jpg,dapur,dapur,0.3533,moved
2023-05-23_CslRH_KxJCw,daikuinterior_CslRH_KxJCw_1.jpg,dapur,dapur,0.7284,moved
2023-05-23_CslRH_KxJCw,daikuinterior_CslRH_KxJCw_2.jpg,dapur,dapur,0.7275,moved
2023-05-23_CslRH_KxJCw,daikuinterior_CslRH_KxJCw_3.jpg,dapur,dapur,0.89,moved
2023-05-23_CslRH_KxJCw,daikuinterior_CslRH_KxJCw_4.jpg,dapur,dapur,0.5831,moved
2023-05-23_CslRH_KxJCw,daikuinterior_CslRH_KxJCw_5.jpg,furnitur-detail,dapur,0.69,moved
2023-05-24_CsnENcgRYGl,daikuinterior_CsnENcgRYGl_0.jpg,promosi,promosi,0.8914,moved
2023-05-24_CsnGk3TRSN2,daikuinterior_CsnGk3TRSN2_0.jpg,furnitur-detail,furnitur-detail,0.5217,moved
2023-05-25_Csp4d8qRgih,daikuinterior_Csp4d8qRgih_0.jpg,dapur,dapur,0.9396,moved
2023-05-25_Csp4d8qRgih,daikuinterior_Csp4d8qRgih_1.jpg,dapur,dapur,0.9227,moved
2023-05-31_Cs5Bl-tR2e1,daikuinterior_Cs5Bl-tR2e1_0.jpg,furnitur-detail,furnitur-detail,0.7478,moved
2023-05-31_Cs5Bl-tR2e1,daikuinterior_Cs5Bl-tR2e1_1.jpg,ruang-usaha,furnitur-detail,0.9326,moved
2023-05-31_Cs5Bl-tR2e1,daikuinterior_Cs5Bl-tR2e1_2.jpg,furnitur-detail,furnitur-detail,0.6304,moved
2023-05-31_Cs5Bl-tR2e1,daikuinterior_Cs5Bl-tR2e1_3.jpg,furnitur-detail,furnitur-detail,0.63,moved
2023-06-02_Cs_HexjxA5e,daikuinterior_Cs_HexjxA5e_0.jpg,furnitur-detail,furnitur-detail,0.4703,moved
2023-06-02_Cs_HexjxA5e,daikuinterior_Cs_HexjxA5e_1.jpg,furnitur-detail,furnitur-detail,0.5633,moved
2023-06-02_Cs_HexjxA5e,daikuinterior_Cs_HexjxA5e_2.jpg,promosi,promosi,0.5601,moved
2023-06-02_Cs_HXr0ROHl,daikuinterior_Cs_HXr0ROHl_0.jpg,kamar-mandi,kamar-mandi,0.4807,moved
2023-06-02_Cs_HXr0ROHl,daikuinterior_Cs_HXr0ROHl_1.jpg,ruang-usaha,kamar-mandi,0.396,moved
2023-06-02_Cs_HXr0ROHl,daikuinterior_Cs_HXr0ROHl_2.jpg,kamar-mandi,kamar-mandi,0.622,moved
2023-06-02_Cs_HXr0ROHl,daikuinterior_Cs_HXr0ROHl_3.jpg,furnitur-detail,kamar-mandi,0.5009,moved
2023-06-05_CtGoF2vRIlO,daikuinterior_CtGoF2vRIlO_0.jpg,furnitur-detail,furnitur-detail,0.6909,moved
2023-06-05_CtGoF2vRIlO,daikuinterior_CtGoF2vRIlO_1.jpg,furnitur-detail,furnitur-detail,0.4822,moved
2023-06-05_CtGoF2vRIlO,daikuinterior_CtGoF2vRIlO_2.jpg,furnitur-detail,furnitur-detail,0.7566,moved
2023-06-05_CtGoF2vRIlO,daikuinterior_CtGoF2vRIlO_3.jpg,kamar-mandi,furnitur-detail,0.9277,moved
2023-06-05_CtGoF2vRIlO,daikuinterior_CtGoF2vRIlO_4.jpg,kamar-mandi,furnitur-detail,0.9613,moved
2023-06-06_CtI08AQR2sF,daikuinterior_CtI08AQR2sF_0.jpg,perlu-ditinjau,perlu-ditinjau,0.2416,moved
2023-06-06_CtI08AQR2sF,daikuinterior_CtI08AQR2sF_1.jpg,kamar-mandi,ruang-usaha,0.4524,moved
2023-06-06_CtI08AQR2sF,daikuinterior_CtI08AQR2sF_2.jpg,ruang-usaha,ruang-usaha,0.6458,moved
2023-06-06_CtI08AQR2sF,daikuinterior_CtI08AQR2sF_3.jpg,ruang-usaha,ruang-usaha,0.5795,moved
2023-06-06_CtI08AQR2sF,daikuinterior_CtI08AQR2sF_4.jpg,kamar-mandi,ruang-usaha,0.6701,moved
2023-06-06_CtI08AQR2sF,daikuinterior_CtI08AQR2sF_5.jpg,furnitur-detail,ruang-usaha,0.5415,moved
2023-06-06_CtI08AQR2sF,daikuinterior_CtI08AQR2sF_6.jpg,ruang-usaha,ruang-usaha,0.5321,moved
