post,file,classification,destination_category,confidence,action
2022-01-11_CYlVQRrJ2bj,daikuinterior_CYlVQRrJ2bj_0.jpg,furnitur-detail,furnitur-detail,0.605,moved
2022-01-14_CYsXnntJHwJ,daikuinterior_CYsXnntJHwJ_0.jpg,foto-orang,foto-orang,0.7681,moved
2022-01-15_CYvewYiJJVg,daikuinterior_CYvewYiJJVg_0.jpg,perlu-ditinjau,perlu-ditinjau,0.3282,moved
2022-01-15_CYvewYiJJVg,daikuinterior_CYvewYiJJVg_1.jpg,ruang-usaha,ruang-usaha,0.7097,moved
2022-01-15_CYvewYiJJVg,daikuinterior_CYvewYiJJVg_2.jpg,foto-orang,foto-orang,0.4279,moved
2022-01-15_CYvewYiJJVg,daikuinterior_CYvewYiJJVg_3.jpg,perlu-ditinjau,perlu-ditinjau,0.2789,moved
2022-01-15_CYvLpusp7EA,daikuinterior_CYvLpusp7EA_0.jpg,foto-orang,foto-orang,0.5171,moved
2022-01-15_CYvLpusp7EA,daikuinterior_CYvLpusp7EA_1.jpg,kamar-mandi,kamar-mandi,0.8278,moved
2022-01-15_CYvLpusp7EA,daikuinterior_CYvLpusp7EA_2.jpg,foto-orang,foto-orang,0.3651,moved
2022-01-15_CYvLpusp7EA,daikuinterior_CYvLpusp7EA_3.jpg,foto-orang,foto-orang,0.4291,moved
2022-01-15_CYvLpusp7EA,daikuinterior_CYvLpusp7EA_4.jpg,perlu-ditinjau,perlu-ditinjau,0.3438,moved
2022-01-15_CYvLpusp7EA,daikuinterior_CYvLpusp7EA_5.jpg,perlu-ditinjau,perlu-ditinjau,0.6068,moved
2022-01-15_CYvLpusp7EA,daikuinterior_CYvLpusp7EA_6.jpg,perlu-ditinjau,perlu-ditinjau,0.3165,moved
2022-01-15_CYvLpusp7EA,daikuinterior_CYvLpusp7EA_7.jpg,foto-orang,foto-orang,0.5039,moved
2022-01-15_CYvLpusp7EA,daikuinterior_CYvLpusp7EA_8.jpg,foto-orang,foto-orang,0.5422,moved
2022-01-15_CYvLpusp7EA,daikuinterior_CYvLpusp7EA_9.jpg,foto-orang,foto-orang,0.7475,moved
2022-01-17_CY0XHm6p2vI,daikuinterior_CY0XHm6p2vI_0.jpg,furnitur-detail,furnitur-detail,0.7484,moved
2022-01-17_CY1QbXHJLfO,daikuinterior_CY1QbXHJLfO_0.jpg,furnitur-detail,furnitur-detail,0.7088,moved
2022-01-17_CY1QmOwJf9F,daikuinterior_CY1QmOwJf9F_0.jpg,kamar-mandi,kamar-mandi,0.5549,moved
2022-01-18_CY26XnYJXVl,daikuinterior_CY26XnYJXVl_0.jpg,ruang-makan,ruang-makan,0.767,moved
2022-01-18_CY2tM8SpYMd,daikuinterior_CY2tM8SpYMd_0.jpg,furnitur-detail,furnitur-detail,0.9281,moved
2022-01-19_CY5KbdhP1kQ,daikuinterior_CY5KbdhP1kQ_0.jpg,furnitur-detail,furnitur-detail,0.9494,moved
2022-01-19_CY5wppIrI3O,daikuinterior_CY5wppIrI3O_0.jpg,furnitur-detail,furnitur-detail,0.9447,moved
2022-01-19_CY5X1cQraJt,daikuinterior_CY5X1cQraJt_0.jpg,furnitur-detail,furnitur-detail,0.4717,moved
2022-01-19_CY5YBIWLEsy,daikuinterior_CY5YBIWLEsy_0.jpg,furnitur-detail,furnitur-detail,0.8723,moved
2022-01-20_CY76E3jpTuR,daikuinterior_CY76E3jpTuR_0.jpg,furnitur-detail,furnitur-detail,0.9181,moved
2022-01-20_CY84ZwmJzHw,daikuinterior_CY84ZwmJzHw_0.jpg,furnitur-detail,furnitur-detail,0.8339,moved
2022-01-20_CY8aik_px98,daikuinterior_CY8aik_px98_0.jpg,furnitur-detail,furnitur-detail,0.7365,moved
